sample	pop
ind001	1
ind002	1
ind003	1
ind004	1
ind005	1
ind006	1
ind007	1
ind008	1
ind009	1
ind010	1
ind011	1
ind012	1
ind013	1
ind014	1
ind015	1
ind016	1
ind017	1
ind018	1
ind019	1
ind020	1
ind021	2
ind022	2
ind023	2
ind024	2
ind025	2
ind026	2
ind027	2
ind028	2
ind029	2
ind030	2
ind031	2
ind032	2
ind033	2
ind034	2
ind035	2
ind036	2
ind037	2
ind038	2
ind039	2
ind040	2
ind041	3
ind042	3
ind043	3
ind044	3
ind045	3
ind046	3
ind047	3
ind048	3
ind049	3
ind050	3
ind051	3
ind052	3
ind053	3
ind054	3
ind055	3
ind056	3
ind057	3
ind058	3
ind059	3
ind060	3
