p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	s_thomson_est	s_thomson_var	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	16	4.984848e+00	5.298228e+00	-2.553794e-01	3.484256e-01	-8.769122e-01	5.000000e+00	6.805556e-01	5.916667e+00	3.631944e+00	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	11	2.772727e+00	3.642532e+00	-9.935508e-01	1.282098e-01	8.535719e-01	7.000000e+00	8.194444e-01	1.583333e+00	3.125000e-01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	7	1.303030e+00	2.317975e+00	-1.713470e+00	1.471074e-01	-3.887538e-01	6.000000e+00	6.250000e-01	1.500000e+00	9.027778e-01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	4	1.045455e+00	1.324557e+00	-7.410882e-01	2.865014e-02	7.164069e-01	5.000000e+00	7.222222e-01	5.833333e-01	1.041667e-01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	3	7.424242e-01	9.934178e-01	-8.287915e-01	1.037649e-01	-5.478503e-01	4.000000e+00	5.138889e-01	9.166667e-01	5.763889e-01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	13	3.984848e+00	4.304811e+00	-3.148334e-01	2.637423e-01	1.832067e-01	7.000000e+00	7.638889e-01	3.416667e+00	1.590278e+00	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	12	3.000000e+00	3.973671e+00	-1.029351e+00	2.211914e-01	6.910592e-02	7.000000e+00	8.194444e-01	2.666667e+00	1.291667e+00	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	11	3.000000e+00	3.642532e+00	-7.339443e-01	1.294712e-01	9.649074e-01	8.000000e+00	8.472222e-01	1.666667e+00	2.916667e-01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	3	6.363636e-01	9.934178e-01	-1.179008e+00	1.603306e-01	-1.353513e+00	4.000000e+00	4.166667e-01	1.166667e+00	8.750000e-01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	10	2.439394e+00	3.311393e+00	-1.083365e+00	1.913672e-01	-9.755761e-01	7.000000e+00	8.333333e-01	3.250000e+00	2.131944e+00	
