id n pop length mu rec
locus1 50 1 100 1e-08 0
locus1 50 2 100 1e-08 0
locus2 50 1 100 1e-08 0
locus2 50 2 100 1e-08 0
locus3 50 1 100 1e-08 0
locus3 50 2 100 1e-08 0
locus4 50 1 100 1e-08 0
locus4 50 2 100 1e-08 0
locus5 50 1 100 1e-08 0
locus5 50 2 100 1e-08 0
locus6 50 1 100 1e-08 0
locus6 50 2 100 1e-08 0
locus7 50 1 100 1e-08 0
locus7 50 2 100 1e-08 0
locus8 50 1 100 1e-08 0
locus8 50 2 100 1e-08 0
locus9 50 1 100 1e-08 0
locus9 50 2 100 1e-08 0
locus10 50 1 100 1e-08 0
locus10 50 2 100 1e-08 0
locus11 50 1 100 1e-08 0
locus11 50 2 100 1e-08 0
locus12 50 1 100 1e-08 0
locus12 50 2 100 1e-08 0
locus13 50 1 100 1e-08 0
locus13 50 2 100 1e-08 0
locus14 50 1 100 1e-08 0
locus14 50 2 100 1e-08 0
locus15 50 1 100 1e-08 0
locus15 50 2 100 1e-08 0
locus16 50 1 100 1e-08 0
locus16 50 2 100 1e-08 0
locus17 50 1 100 1e-08 0
locus17 50 2 100 1e-08 0
locus18 50 1 100 1e-08 0
locus18 50 2 100 1e-08 0
locus19 50 1 100 1e-08 0
locus19 50 2 100 1e-08 0
locus20 50 1 100 1e-08 0
locus20 50 2 100 1e-08 0
locus21 50 1 100 1e-08 0
locus21 50 2 100 1e-08 0
locus22 50 1 100 1e-08 0
locus22 50 2 100 1e-08 0
locus23 50 1 100 1e-08 0
locus23 50 2 100 1e-08 0
locus24 50 1 100 1e-08 0
locus24 50 2 100 1e-08 0
locus25 50 1 100 1e-08 0
locus25 50 2 100 1e-08 0
locus26 50 1 100 1e-08 0
locus26 50 2 100 1e-08 0
locus27 50 1 100 1e-08 0
locus27 50 2 100 1e-08 0
locus28 50 1 100 1e-08 0
locus28 50 2 100 1e-08 0
locus29 50 1 100 1e-08 0
locus29 50 2 100 1e-08 0
locus30 50 1 100 1e-08 0
locus30 50 2 100 1e-08 0
locus31 50 1 100 1e-08 0
locus31 50 2 100 1e-08 0
locus32 50 1 100 1e-08 0
locus32 50 2 100 1e-08 0
locus33 50 1 100 1e-08 0
locus33 50 2 100 1e-08 0
locus34 50 1 100 1e-08 0
locus34 50 2 100 1e-08 0
locus35 50 1 100 1e-08 0
locus35 50 2 100 1e-08 0
locus36 50 1 100 1e-08 0
locus36 50 2 100 1e-08 0
locus37 50 1 100 1e-08 0
locus37 50 2 100 1e-08 0
locus38 50 1 100 1e-08 0
locus38 50 2 100 1e-08 0
locus39 50 1 100 1e-08 0
locus39 50 2 100 1e-08 0
locus40 50 1 100 1e-08 0
locus40 50 2 100 1e-08 0
locus41 50 1 100 1e-08 0
locus41 50 2 100 1e-08 0
locus42 50 1 100 1e-08 0
locus42 50 2 100 1e-08 0
locus43 50 1 100 1e-08 0
locus43 50 2 100 1e-08 0
locus44 50 1 100 1e-08 0
locus44 50 2 100 1e-08 0
locus45 50 1 100 1e-08 0
locus45 50 2 100 1e-08 0
locus46 50 1 100 1e-08 0
locus46 50 2 100 1e-08 0
locus47 50 1 100 1e-08 0
locus47 50 2 100 1e-08 0
locus48 50 1 100 1e-08 0
locus48 50 2 100 1e-08 0
locus49 50 1 100 1e-08 0
locus49 50 2 100 1e-08 0
locus50 50 1 100 1e-08 0
locus50 50 2 100 1e-08 0
locus51 50 1 100 1e-08 0
locus51 50 2 100 1e-08 0
locus52 50 1 100 1e-08 0
locus52 50 2 100 1e-08 0
locus53 50 1 100 1e-08 0
locus53 50 2 100 1e-08 0
locus54 50 1 100 1e-08 0
locus54 50 2 100 1e-08 0
locus55 50 1 100 1e-08 0
locus55 50 2 100 1e-08 0
locus56 50 1 100 1e-08 0
locus56 50 2 100 1e-08 0
locus57 50 1 100 1e-08 0
locus57 50 2 100 1e-08 0
locus58 50 1 100 1e-08 0
locus58 50 2 100 1e-08 0
locus59 50 1 100 1e-08 0
locus59 50 2 100 1e-08 0
locus60 50 1 100 1e-08 0
locus60 50 2 100 1e-08 0
locus61 50 1 100 1e-08 0
locus61 50 2 100 1e-08 0
locus62 50 1 100 1e-08 0
locus62 50 2 100 1e-08 0
locus63 50 1 100 1e-08 0
locus63 50 2 100 1e-08 0
locus64 50 1 100 1e-08 0
locus64 50 2 100 1e-08 0
locus65 50 1 100 1e-08 0
locus65 50 2 100 1e-08 0
locus66 50 1 100 1e-08 0
locus66 50 2 100 1e-08 0
locus67 50 1 100 1e-08 0
locus67 50 2 100 1e-08 0
locus68 50 1 100 1e-08 0
locus68 50 2 100 1e-08 0
locus69 50 1 100 1e-08 0
locus69 50 2 100 1e-08 0
locus70 50 1 100 1e-08 0
locus70 50 2 100 1e-08 0
locus71 50 1 100 1e-08 0
locus71 50 2 100 1e-08 0
locus72 50 1 100 1e-08 0
locus72 50 2 100 1e-08 0
locus73 50 1 100 1e-08 0
locus73 50 2 100 1e-08 0
locus74 50 1 100 1e-08 0
locus74 50 2 100 1e-08 0
locus75 50 1 100 1e-08 0
locus75 50 2 100 1e-08 0
locus76 50 1 100 1e-08 0
locus76 50 2 100 1e-08 0
locus77 50 1 100 1e-08 0
locus77 50 2 100 1e-08 0
locus78 50 1 100 1e-08 0
locus78 50 2 100 1e-08 0
locus79 50 1 100 1e-08 0
locus79 50 2 100 1e-08 0
locus80 50 1 100 1e-08 0
locus80 50 2 100 1e-08 0
locus81 50 1 100 1e-08 0
locus81 50 2 100 1e-08 0
locus82 50 1 100 1e-08 0
locus82 50 2 100 1e-08 0
locus83 50 1 100 1e-08 0
locus83 50 2 100 1e-08 0
locus84 50 1 100 1e-08 0
locus84 50 2 100 1e-08 0
locus85 50 1 100 1e-08 0
locus85 50 2 100 1e-08 0
locus86 50 1 100 1e-08 0
locus86 50 2 100 1e-08 0
locus87 50 1 100 1e-08 0
locus87 50 2 100 1e-08 0
locus88 50 1 100 1e-08 0
locus88 50 2 100 1e-08 0
locus89 50 1 100 1e-08 0
locus89 50 2 100 1e-08 0
locus90 50 1 100 1e-08 0
locus90 50 2 100 1e-08 0
locus91 50 1 100 1e-08 0
locus91 50 2 100 1e-08 0
locus92 50 1 100 1e-08 0
locus92 50 2 100 1e-08 0
locus93 50 1 100 1e-08 0
locus93 50 2 100 1e-08 0
