id n pop length mu rec
locus1 58 1 92 1.05527021433147e-09 0
locus1 20 2 92 1.05527021433147e-09 0
locus2 68 1 79 1.25963082237378e-09 0
locus2 16 2 79 1.25963082237378e-09 0
locus3 66 1 212 1.18433787492649e-09 0
locus3 28 2 212 1.18433787492649e-09 0
locus4 82 1 101 2.0960187173268e-09 0
locus4 20 2 101 2.0960187173268e-09 0
locus5 62 1 110 1.6634699237571e-09 0
locus5 28 2 110 1.6634699237571e-09 0
locus6 60 1 103 1.04888065482394e-09 0
locus6 36 2 103 1.04888065482394e-09 0
locus7 94 1 125 3.49109005133794e-10 0
locus7 26 2 125 3.49109005133794e-10 0
locus8 42 1 92 6.68210025317334e-10 0
locus8 16 2 92 6.68210025317334e-10 0
locus9 72 1 97 2.66982737806786e-10 0
locus9 30 2 97 2.66982737806786e-10 0
locus10 92 1 200 7.87815279300124e-10 0
locus10 26 2 200 7.87815279300124e-10 0
locus11 86 1 171 2.29492088241234e-10 0
locus11 26 2 171 2.29492088241234e-10 0
locus12 48 1 156 5.97914062293766e-10 0
locus12 20 2 156 5.97914062293766e-10 0
locus13 78 1 132 9.10068125024087e-10 0
locus13 16 2 132 9.10068125024087e-10 0
locus14 92 1 94 1.74773561659772e-11 0
locus14 20 2 94 1.74773561659772e-11 0
locus15 96 1 85 1.16811363567567e-09 0
locus15 28 2 85 1.16811363567567e-09 0
locus16 36 1 134 1.09119256333512e-09 0
locus16 14 2 134 1.09119256333512e-09 0
locus17 68 1 120 1.0221919077958e-09 0
locus17 28 2 120 1.0221919077958e-09 0
locus18 96 1 101 1.54405577940026e-09 0
locus18 24 2 101 1.54405577940026e-09 0
locus19 64 1 162 6.09969691968218e-10 0
locus19 24 2 162 6.09969691968218e-10 0
locus20 46 1 231 5.19070396339861e-10 0
locus20 16 2 231 5.19070396339861e-10 0
locus21 74 1 87 8.33134766824218e-10 0
locus21 20 2 87 8.33134766824218e-10 0
locus22 76 1 112 1.20302501442553e-09 0
locus22 30 2 112 1.20302501442553e-09 0
locus23 92 1 155 8.45924260654588e-10 0
locus23 28 2 155 8.45924260654588e-10 0
locus24 68 1 103 6.93245451162501e-10 0
locus24 28 2 103 6.93245451162501e-10 0
locus25 98 1 91 7.7010274163388e-10 0
locus25 24 2 91 7.7010274163388e-10 0
locus26 56 1 148 9.52755135167078e-10 0
locus26 18 2 148 9.52755135167078e-10 0
locus27 64 1 92 9.15998903832845e-11 0
locus27 18 2 92 9.15998903832845e-11 0
locus28 102 1 108 1.1081548935798e-10 0
locus28 24 2 108 1.1081548935798e-10 0
locus29 76 1 103 8.74273751858919e-10 0
locus29 28 2 103 8.74273751858919e-10 0
locus30 88 1 146 1.2415628585807e-09 0
locus30 18 2 146 1.2415628585807e-09 0
locus31 88 1 134 3.89007347288646e-10 0
locus31 24 2 134 3.89007347288646e-10 0
locus32 80 1 93 3.21620539196685e-10 0
locus32 24 2 93 3.21620539196685e-10 0
locus33 78 1 129 1.72203841469195e-09 0
locus33 30 2 129 1.72203841469195e-09 0
locus34 70 1 95 2.9112623155177e-10 0
locus34 18 2 95 2.9112623155177e-10 0
locus35 76 1 96 6.57658381510907e-10 0
locus35 32 2 96 6.57658381510907e-10 0
locus36 64 1 135 3.76836827109012e-10 0
locus36 14 2 135 3.76836827109012e-10 0
locus37 90 1 112 1.34924529946239e-09 0
locus37 26 2 112 1.34924529946239e-09 0
locus38 42 1 282 9.68493942006317e-11 0
locus38 10 2 282 9.68493942006317e-11 0
locus39 92 1 88 7.25801523439592e-10 0
locus39 18 2 88 7.25801523439592e-10 0
locus40 70 1 99 2.51779229714513e-10 0
locus40 18 2 99 2.51779229714513e-10 0
